net,3_cycle_norm,4_cycle_norm,5_cycle_norm,6_cycle_norm,7_cycle_norm,8_cycle_norm,9_cycle_norm,10_cycle_norm,11_cycle_norm,12_cycle_norm
utj,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
utm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
utn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
utq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
vba,0.0,0.166666667,0.0,0.5,0.0,0.333333333,0.0,0.0,0.0,0.0
vbb,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
vbc,0.0,0.4,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0
vbd,0.0,0.5,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0
vbe,0.333333333,0.0,0.0,0.555555556,0.111111111,0.0,0.0,0.0,0.0,0.0
vbg,0.0,0.5,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0
vbh,0.375,0.0,0.0,0.375,0.0,0.25,0.0,0.0,0.0,0.0
vbi,0.333333333,0.111111111,0.0,0.0,0.0,0.0,0.0,0.555555556,0.0,0.0
vbj,0.0,0.5,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0
vbk,0.0,0.5,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0
vbm,0.0,0.916666667,0.083333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vbn,0.230769231,0.153846154,0.384615385,0.230769231,0.0,0.0,0.0,0.0,0.0,0.0
vbp,0.230769231,0.153846154,0.307692308,0.307692308,0.0,0.0,0.0,0.0,0.0,0.0
vbr,0.230769231,0.230769231,0.0,0.538461538,0.0,0.0,0.0,0.0,0.0,0.0
vbv,0.230769231,0.230769231,0.307692308,0.153846154,0.0,0.076923077,0.0,0.0,0.0,0.0
vbw,0.214285714,0.214285714,0.285714286,0.142857143,0.0,0.142857143,0.0,0.0,0.0,0.0
vby,0.0,0.833333333,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vcb,0.0,0.444444444,0.333333333,0.222222222,0.0,0.0,0.0,0.0,0.0,0.0
vcc,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vcd,0.0,0.5,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0
vce,0.0,0.4,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0
vcf,0.214285714,0.214285714,0.0,0.5,0.0,0.071428571,0.0,0.0,0.0,0.0
vda,0.272727273,0.454545455,0.0,0.272727273,0.0,0.0,0.0,0.0,0.0,0.0
vdb,0.333333333,0.0,0.0,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.0
wbl,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
wfa,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
wfe,0.321428571,0.428571429,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wfj,0.214285714,0.5,0.285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wfs,0.285714286,0.333333333,0.19047619,0.19047619,0.0,0.0,0.0,0.0,0.0,0.0
wfx,0.285714286,0.333333333,0.380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wfz,0.142857143,0.523809524,0.285714286,0.047619048,0.0,0.0,0.0,0.0,0.0,0.0
wga,0.0,0.777777778,0.0,0.0,0.0,0.111111111,0.111111111,0.0,0.0,0.0
wgb,0.0,0.5,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0
wgc,0.0,0.375,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0
wgd,0.0,0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0
wge,0.0,0.5,0.2,0.2,0.0,0.1,0.0,0.0,0.0,0.0
wgf,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
wgh,0.0,0.6,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0
wgi,0.0,0.5,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0
wgj,0.0,0.5,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0
wgl,0.0,0.5,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0
wgm,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
wgn,0.0,0.333333333,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0
wgo,0.0,0.222222222,0.444444444,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0
wgp,0.0,0.222222222,0.444444444,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0
wgq,0.0,0.333333333,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0
wgr,0.0,0.222222222,0.444444444,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0
wgs,0.0,0.333333333,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0
wgt,0.0,0.0,0.777777778,0.222222222,0.0,0.0,0.0,0.0,0.0,0.0
wgw,0.230769231,0.153846154,0.307692308,0.307692308,0.0,0.0,0.0,0.0,0.0,0.0
whh,0.214285714,0.142857143,0.428571429,0.142857143,0.0,0.071428571,0.0,0.0,0.0,0.0
whk,0.230769231,0.307692308,0.230769231,0.0,0.0,0.230769231,0.0,0.0,0.0,0.0
whm,0.230769231,0.384615385,0.153846154,0.0,0.0,0.153846154,0.076923077,0.0,0.0,0.0
whp,0.214285714,0.285714286,0.142857143,0.285714286,0.0,0.071428571,0.0,0.0,0.0,0.0
whq,0.214285714,0.357142857,0.142857143,0.0,0.0,0.285714286,0.0,0.0,0.0,0.0
whr,0.214285714,0.214285714,0.357142857,0.142857143,0.0,0.071428571,0.0,0.0,0.0,0.0
wht,0.272727273,0.181818182,0.454545455,0.090909091,0.0,0.0,0.0,0.0,0.0,0.0
whv,0.272727273,0.090909091,0.636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whw,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
why,0.25,0.166666667,0.583333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whz,0.272727273,0.454545455,0.0,0.272727273,0.0,0.0,0.0,0.0,0.0,0.0
wib,0.25,0.333333333,0.166666667,0.25,0.0,0.0,0.0,0.0,0.0,0.0
wig,0.230769231,0.153846154,0.230769231,0.384615385,0.0,0.0,0.0,0.0,0.0,0.0
wil,0.230769231,0.384615385,0.153846154,0.0,0.0,0.0,0.0,0.230769231,0.0,0.0
wim,0.230769231,0.384615385,0.153846154,0.0,0.0,0.230769231,0.0,0.0,0.0,0.0
wio,0.230769231,0.230769231,0.0,0.538461538,0.0,0.0,0.0,0.0,0.0,0.0
wip,0.461538462,0.0,0.0,0.538461538,0.0,0.0,0.0,0.0,0.0,0.0
wiq,0.230769231,0.384615385,0.0,0.230769231,0.153846154,0.0,0.0,0.0,0.0,0.0
wir,0.25,0.333333333,0.416666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wiu,0.0,0.538461538,0.461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wiv,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wjb,0.285714286,0.428571429,0.0,0.0,0.0,0.142857143,0.0,0.0,0.0,0.142857143
wjc,0.19047619,0.571428571,0.142857143,0.095238095,0.0,0.0,0.0,0.0,0.0,0.0
wjd,0.166666667,0.5,0.25,0.083333333,0.0,0.0,0.0,0.0,0.0,0.0
wje,0.0,0.166666667,0.0,0.5,0.333333333,0.0,0.0,0.0,0.0,0.0
wjf,0.0,0.333333333,0.0,0.5,0.0,0.0,0.166666667,0.0,0.0,0.0
wjg,0.0,0.166666667,0.0,0.5,0.0,0.333333333,0.0,0.0,0.0,0.0
wji,0.0,0.333333333,0.0,0.5,0.0,0.166666667,0.0,0.0,0.0,0.0
wjr,0.333333333,0.111111111,0.0,0.555555556,0.0,0.0,0.0,0.0,0.0,0.0
wkf,0.25,0.166666667,0.333333333,0.25,0.0,0.0,0.0,0.0,0.0,0.0
wkh,0.214285714,0.142857143,0.214285714,0.285714286,0.142857143,0.0,0.0,0.0,0.0,0.0
wkj,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
wkl,0.272727273,0.545454545,0.0,0.181818182,0.0,0.0,0.0,0.0,0.0,0.0
wkp,0.214285714,0.142857143,0.214285714,0.214285714,0.214285714,0.0,0.0,0.0,0.0,0.0
wkq,0.2,0.266666667,0.2,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0
wkr,0.285714286,0.428571429,0.0,0.0,0.0,0.142857143,0.0,0.0,0.0,0.142857143
wku,0.285714286,0.238095238,0.380952381,0.095238095,0.0,0.0,0.0,0.0,0.0,0.0
wkw,0.214285714,0.535714286,0.214285714,0.035714286,0.0,0.0,0.0,0.0,0.0,0.0
wla,0.1,0.4,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.0
wlb,0.1,0.4,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0
wle,0.333333333,0.0,0.0,0.333333333,0.0,0.333333333,0.0,0.0,0.0,0.0
wlf,0.333333333,0.0,0.0,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.0
wlg,0.1,0.2,0.3,0.1,0.0,0.3,0.0,0.0,0.0,0.0
wlh,0.111111111,0.444444444,0.0,0.111111111,0.333333333,0.0,0.0,0.0,0.0,0.0
wlk,0.0,0.6,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0
wll,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
wlm,0.0,0.777777778,0.0,0.0,0.111111111,0.0,0.0,0.0,0.0,0.111111111
wln,0.0,0.7,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1
wlp,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2
wlq,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
wlr,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
wls,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
wlt,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
wlu,0.0,0.6,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.0
wmc,0.076923077,0.307692308,0.538461538,0.0,0.076923077,0.0,0.0,0.0,0.0,0.0
wme,0.166666667,0.5,0.25,0.083333333,0.0,0.0,0.0,0.0,0.0,0.0
wmg,0.230769231,0.307692308,0.230769231,0.076923077,0.0,0.153846154,0.0,0.0,0.0,0.0
wmi,0.166666667,0.5,0.25,0.083333333,0.0,0.0,0.0,0.0,0.0,0.0
wmp,0.25,0.5,0.0,0.166666667,0.0,0.0,0.0,0.0,0.0,0.083333333
wmt,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
wmv,0.230769231,0.307692308,0.0,0.307692308,0.153846154,0.0,0.0,0.0,0.0,0.0
wmy,0.285714286,0.285714286,0.0,0.285714286,0.071428571,0.0,0.0,0.0,0.0,0.071428571
wmz,0.285714286,0.142857143,0.357142857,0.071428571,0.0,0.142857143,0.0,0.0,0.0,0.0
wna,0.083333333,0.5,0.416666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wnd,0.166666667,0.5,0.25,0.083333333,0.0,0.0,0.0,0.0,0.0,0.0
wne,0.0,0.666666667,0.0,0.266666667,0.0,0.066666667,0.0,0.0,0.0,0.0
wnh,0.285714286,0.333333333,0.380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wnm,0.142857143,0.571428571,0.095238095,0.19047619,0.0,0.0,0.0,0.0,0.0,0.0
wno,0.285714286,0.333333333,0.333333333,0.047619048,0.0,0.0,0.0,0.0,0.0,0.0
wnz,0.238095238,0.285714286,0.285714286,0.19047619,0.0,0.0,0.0,0.0,0.0,0.0
wse,0.0,0.666666667,0.0,0.0,0.0,0.166666667,0.0,0.0,0.0,0.166666667
xfc,0.285714286,0.523809524,0.19047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xfe,0.142857143,0.476190476,0.095238095,0.285714286,0.0,0.0,0.0,0.0,0.0,0.0
xff,0.142857143,0.428571429,0.380952381,0.047619048,0.0,0.0,0.0,0.0,0.0,0.0
xfg,0.142857143,0.428571429,0.380952381,0.047619048,0.0,0.0,0.0,0.0,0.0,0.0
xfh,0.142857143,0.523809524,0.285714286,0.047619048,0.0,0.0,0.0,0.0,0.0,0.0
xfs,0.142857143,0.571428571,0.238095238,0.047619048,0.0,0.0,0.0,0.0,0.0,0.0
xfz,0.375,0.125,0.0,0.375,0.0,0.125,0.0,0.0,0.0,0.0
yfc,0.333333333,0.111111111,0.0,0.333333333,0.0,0.111111111,0.0,0.111111111,0.0,0.0
yfd,0.333333333,0.0,0.0,0.333333333,0.0,0.0,0.0,0.333333333,0.0,0.0
yfj,0.333333333,0.111111111,0.0,0.0,0.0,0.0,0.0,0.555555556,0.0,0.0
yfl,0.333333333,0.0,0.0,0.555555556,0.111111111,0.0,0.0,0.0,0.0,0.0
yfm,0.333333333,0.111111111,0.0,0.0,0.0,0.333333333,0.0,0.222222222,0.0,0.0
yfo,0.333333333,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.333333333,0.0
yfq,0.333333333,0.111111111,0.0,0.333333333,0.0,0.0,0.222222222,0.0,0.0,0.0
yfr,0.375,0.125,0.0,0.375,0.0,0.125,0.0,0.0,0.0,0.0
yfs,0.3,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0
yft,0.3,0.0,0.0,0.3,0.4,0.0,0.0,0.0,0.0,0.0
yfu,0.333333333,0.0,0.0,0.555555556,0.111111111,0.0,0.0,0.0,0.0,0.0
yfw,0.0,0.222222222,0.555555556,0.222222222,0.0,0.0,0.0,0.0,0.0,0.0
yfy,0.0,0.6,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0
zfc,0.0,0.6,0.1,0.0,0.0,0.1,0.0,0.2,0.0,0.0
zfd,0.0,0.6,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0
zfe,0.0,0.5,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0
zfi,0.0,0.222222222,0.666666667,0.0,0.0,0.111111111,0.0,0.0,0.0,0.0
zfj,0.0,0.3,0.4,0.2,0.0,0.0,0.0,0.1,0.0,0.0
zfk,0.0,0.4,0.3,0.2,0.0,0.0,0.0,0.1,0.0,0.0
zfl,0.0,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0
zfm,0.0,0.333333333,0.333333333,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0
zfn,0.0,0.777777778,0.0,0.0,0.0,0.111111111,0.0,0.111111111,0.0,0.0
zfo,0.0,0.3,0.4,0.2,0.0,0.1,0.0,0.0,0.0,0.0
zfp,0.0,0.444444444,0.333333333,0.222222222,0.0,0.0,0.0,0.0,0.0,0.0
zfq,0.0,0.111111111,0.666666667,0.222222222,0.0,0.0,0.0,0.0,0.0,0.0
zfv,0.0,0.777777778,0.0,0.0,0.0,0.0,0.222222222,0.0,0.0,0.0
zfw,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
zfx,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
zfy,0.0,0.3,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0
zga,0.0,0.666666667,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0
zni,0.0,0.166666667,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.166666667
zzz,0.0,0.1875,0.0,0.75,0.0,0.0,0.0,0.0625,0.0,0.0
